,NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,PROFILE
511,Marc Ferris,34028847,39.0,52.0,34.0,2.0,4.0,4.0,1.0,5.0,5.0,69.0,65.0,73.0,beginner_backend
512,Monique Vaughn,87147288,28.0,44.0,16.0,3.0,2.0,5.0,0.0,4.0,4.0,41.0,40.0,76.0,beginner_data_science
513,Laurie Ropers,28065441,74.0,36.0,41.0,2.0,5.0,2.0,3.0,4.0,2.0,52.0,77.0,66.0,advanced_front_end
514,Roberto Russell,13095342,69.0,40.0,18.0,4.0,3.0,5.0,4.0,7.0,6.0,40.0,82.0,78.0,advanced_data_science
515,Laura Tofil,81228144,46.0,102.0,44.0,7.0,9.0,3.0,5.0,3.0,3.0,69.0,94.0,50.0,advanced_front_end
516,Angela Boner,72893547,54.0,71.0,47.0,2.0,4.0,3.0,2.0,5.0,5.0,70.0,88.0,86.0,beginner_backend
517,Ursula Kuehnert,34472788,68.0,54.0,29.0,4.0,8.0,5.0,6.0,4.0,3.0,64.0,69.0,50.0,advanced_front_end
518,John Shear,41667523,18.0,48.0,10.0,2.0,4.0,5.0,3.0,7.0,0.0,82.0,75.0,57.0,beginner_backend
519,John Tharp,83004498,47.0,46.0,53.0,3.0,5.0,3.0,4.0,3.0,1.0,66.0,60.0,51.0,beginner_front_end
520,Alberto Cruz,29764891,65.0,27.0,27.0,1.0,7.0,5.0,4.0,6.0,4.0,63.0,55.0,62.0,beginner_front_end
521,Lance Rochester,19728116,49.0,44.0,85.0,2.0,3.0,5.0,6.0,4.0,2.0,45.0,89.0,61.0,beginner_data_science
522,David Jared,36738892,34.0,68.0,43.0,7.0,3.0,6.0,3.0,6.0,0.0,51.0,58.0,63.0,advanced_data_science
523,Marcus Pettit,46839787,36.0,0.0,63.0,2.0,0.0,2.0,0.0,7.0,5.0,36.0,72.0,65.0,advanced_front_end
524,Mary Armand,55261852,0.0,13.0,13.0,2.0,5.0,2.0,3.0,3.0,5.0,84.0,60.0,61.0,beginner_backend
525,Concepcion Vorhies,05144540,37.0,57.0,28.0,5.0,3.0,5.0,4.0,1.0,4.0,80.0,70.0,70.0,advanced_backend
526,Charles Redman,21092358,49.0,51.0,31.0,5.0,2.0,5.0,3.0,7.0,3.0,59.0,65.0,72.0,beginner_backend
527,Juan Mitchell,84443850,19.0,43.0,25.0,2.0,3.0,5.0,2.0,3.0,6.0,70.0,83.0,61.0,beginner_backend
528,Joan Laird,99006866,85.0,8.0,30.0,7.0,4.0,7.0,1.0,3.0,2.0,39.0,84.0,71.0,advanced_data_science
529,Jamel Stewart,40005419,69.0,82.0,23.0,5.0,3.0,2.0,3.0,6.0,1.0,70.0,73.0,61.0,beginner_backend
530,Cheryl Minor,57558318,57.0,68.0,7.0,8.0,2.0,8.0,2.0,4.0,2.0,67.0,63.0,83.0,advanced_data_science
531,John Bell,78525239,16.0,60.0,54.0,4.0,2.0,4.0,7.0,6.0,7.0,60.0,70.0,79.0,advanced_backend
532,Stephen Bruno,40816958,76.0,0.0,24.0,5.0,6.0,5.0,3.0,3.0,3.0,63.0,55.0,65.0,beginner_front_end
533,Edward Lilley,10893158,15.0,60.0,71.0,3.0,6.0,1.0,2.0,5.0,1.0,72.0,69.0,57.0,advanced_front_end
534,Sharon Mosier,34313624,42.0,42.0,76.0,6.0,3.0,4.0,6.0,1.0,4.0,75.0,59.0,45.0,beginner_data_science
535,Albert Taft,17119385,90.0,31.0,73.0,4.0,6.0,8.0,3.0,7.0,0.0,47.0,40.0,62.0,beginner_front_end
536,Terrence Nieves,01415906,41.0,25.0,26.0,2.0,5.0,1.0,2.0,4.0,4.0,41.0,80.0,72.0,advanced_front_end
537,Ronald Edwards,50796625,29.0,60.0,23.0,3.0,5.0,3.0,3.0,5.0,1.0,89.0,80.0,69.0,beginner_backend
538,Brian Hensley,47525720,13.0,64.0,0.0,6.0,3.0,5.0,0.0,4.0,1.0,68.0,50.0,65.0,advanced_data_science
539,Jimmy Whicker,90085135,48.0,90.0,41.0,5.0,2.0,5.0,1.0,4.0,3.0,83.0,41.0,95.0,advanced_data_science
540,Robert Edwards,71437699,32.0,64.0,50.0,4.0,0.0,8.0,4.0,0.0,10.0,100.0,,76.0,advanced_backend
541,Melanie Pulliam,10811603,12.0,25.0,41.0,6.0,5.0,9.0,2.0,2.0,3.0,89.0,90.0,81.0,beginner_data_science
542,Joyce Griffin,32166875,15.0,54.0,36.0,5.0,3.0,7.0,5.0,5.0,4.0,63.0,75.0,62.0,advanced_backend
543,Don Tripp,20686952,47.0,46.0,96.0,4.0,1.0,4.0,1.0,0.0,5.0,50.0,68.0,67.0,beginner_data_science
544,Joe Martin,25603651,20.0,37.0,45.0,4.0,6.0,3.0,6.0,7.0,8.0,86.0,59.0,59.0,beginner_front_end
545,Margaret Violet,25189657,44.0,36.0,37.0,4.0,5.0,3.0,3.0,5.0,2.0,70.0,64.0,59.0,beginner_front_end
546,Delores Morgan,69945656,17.0,39.0,14.0,5.0,3.0,5.0,6.0,4.0,5.0,68.0,80.0,61.0,advanced_backend
547,Theresa Tello,51487356,57.0,3.0,53.0,4.0,3.0,7.0,3.0,6.0,2.0,65.0,51.0,78.0,beginner_front_end
548,Michelle Staggs,06679474,92.0,64.0,70.0,2.0,4.0,4.0,2.0,7.0,2.0,58.0,88.0,92.0,beginner_data_science
549,William Harlow,92892886,29.0,79.0,39.0,5.0,4.0,6.0,5.0,1.0,3.0,67.0,60.0,67.0,advanced_backend
550,Harland Gabe,44923822,82.0,70.0,21.0,8.0,11.0,2.0,7.0,1.0,7.0,66.0,79.0,42.0,beginner_front_end
551,Shirley Southwick,33038016,22.0,38.0,50.0,4.0,4.0,3.0,1.0,6.0,4.0,51.0,91.0,53.0,advanced_front_end
552,Martin Erickson,12800691,62.0,62.0,14.0,5.0,8.0,4.0,5.0,5.0,6.0,75.0,70.0,52.0,beginner_front_end
553,Patricia Harris,63409227,58.0,55.0,42.0,1.0,8.0,3.0,6.0,2.0,0.0,95.0,54.0,74.0,advanced_front_end
554,Maria Wittner,07927168,50.0,42.0,91.0,4.0,4.0,8.0,3.0,3.0,1.0,56.0,69.0,56.0,beginner_data_science
555,Lucille Munsey,68015947,22.0,29.0,42.0,1.0,3.0,6.0,5.0,4.0,3.0,68.0,77.0,67.0,beginner_data_science
556,Roger Palmer,38626155,43.0,60.0,27.0,7.0,3.0,4.0,3.0,3.0,0.0,74.0,60.0,82.0,advanced_data_science
557,Anita Silkenson,18841597,4.0,75.0,52.0,3.0,3.0,4.0,6.0,1.0,1.0,57.0,74.0,80.0,advanced_backend
558,Toni Sawyer,64613675,65.0,39.0,47.0,4.0,5.0,4.0,2.0,3.0,2.0,67.0,70.0,52.0,advanced_front_end
559,Rosemarie Turner,14022506,30.0,0.0,23.0,4.0,4.0,2.0,5.0,7.0,4.0,85.0,88.0,81.0,beginner_front_end
560,Kelsey Wegner,58779700,52.0,73.0,16.0,4.0,2.0,0.0,4.0,5.0,2.0,67.0,61.0,68.0,beginner_backend
561,Patricia Schechter,38431395,45.0,57.0,38.0,6.0,8.0,2.0,3.0,9.0,6.0,77.0,63.0,49.0,beginner_front_end
562,Patricia Mcrae,00197787,72.0,26.0,62.0,2.0,3.0,6.0,3.0,4.0,6.0,40.0,62.0,67.0,advanced_data_science
563,Kristine Pugh,09121922,55.0,80.0,42.0,1.0,4.0,4.0,7.0,11.0,5.0,50.0,64.0,57.0,advanced_data_science
564,Helen Keeney,64043525,44.0,90.0,0.0,4.0,1.0,3.0,3.0,0.0,6.0,65.0,77.0,58.0,beginner_backend
565,Randy Ballintyn,53188901,54.0,66.0,44.0,5.0,3.0,4.0,3.0,2.0,2.0,73.0,25.0,76.0,advanced_data_science
566,Daniel Townsend,03516387,29.0,69.0,63.0,2.0,5.0,5.0,4.0,3.0,5.0,44.0,67.0,72.0,advanced_data_science
567,Leeanne Jordan,34109584,38.0,28.0,27.0,1.0,4.0,,3.0,4.0,5.0,68.0,73.0,73.0,advanced_front_end
568,Bonnie Brinkman,83795319,52.0,35.0,37.0,2.0,2.0,3.0,5.0,5.0,8.0,68.0,96.0,64.0,advanced_backend
569,Bonnie Medina,66174437,27.0,43.0,53.0,0.0,6.0,4.0,2.0,3.0,1.0,49.0,53.0,36.0,advanced_front_end
570,Donna Skinner,94558625,85.0,24.0,0.0,1.0,6.0,1.0,0.0,0.0,1.0,47.0,52.0,42.0,beginner_front_end
571,Peter Morales,57302076,44.0,50.0,41.0,4.0,1.0,1.0,5.0,5.0,3.0,59.0,67.0,72.0,beginner_backend
572,Dale Swanson,46214453,27.0,29.0,45.0,5.0,3.0,6.0,0.0,1.0,2.0,68.0,69.0,83.0,advanced_data_science
573,Louis Carpenter,38070920,59.0,44.0,23.0,7.0,2.0,5.0,2.0,5.0,2.0,66.0,36.0,63.0,advanced_data_science
574,Joy Kato,77874552,46.0,38.0,71.0,7.0,3.0,6.0,5.0,1.0,2.0,53.0,78.0,62.0,beginner_data_science
575,Michelle Mundell,13005478,70.0,40.0,50.0,4.0,5.0,3.0,6.0,8.0,3.0,41.0,52.0,50.0,advanced_data_science
576,Patricia Jones,47901337,40.0,39.0,63.0,4.0,3.0,6.0,0.0,1.0,1.0,65.0,30.0,54.0,advanced_data_science
577,Larry Pierce,26603202,17.0,60.0,58.0,1.0,7.0,4.0,6.0,5.0,2.0,90.0,82.0,67.0,advanced_front_end
578,Andrea Gardner,02777983,37.0,55.0,37.0,2.0,0.0,3.0,9.0,1.0,7.0,84.0,67.0,80.0,advanced_backend
579,Patrick Peck,64176692,34.0,24.0,50.0,3.0,4.0,4.0,3.0,3.0,2.0,41.0,65.0,71.0,beginner_data_science
580,Michele Arbuckle,92673264,40.0,61.0,10.0,5.0,6.0,3.0,3.0,8.0,7.0,91.0,46.0,42.0,beginner_front_end
581,Marsha Darrin,57925743,40.0,80.0,23.0,3.0,9.0,6.0,6.0,3.0,0.0,76.0,66.0,35.0,advanced_front_end
582,Robert Tedder,92942356,29.0,13.0,57.0,3.0,5.0,1.0,2.0,11.0,0.0,83.0,60.0,81.0,beginner_backend
583,Amanda Dekany,97855167,9.0,78.0,33.0,3.0,5.0,1.0,6.0,7.0,5.0,57.0,90.0,91.0,advanced_front_end
584,Jesse Tharpe,73092656,59.0,2.0,28.0,1.0,5.0,2.0,2.0,2.0,1.0,58.0,62.0,63.0,beginner_front_end
585,Melissa Herr,79909940,44.0,82.0,0.0,3.0,0.0,4.0,3.0,1.0,7.0,56.0,88.0,74.0,beginner_backend
586,Dewey Bradshaw,96257474,73.0,58.0,31.0,2.0,1.0,6.0,2.0,4.0,7.0,68.0,87.0,54.0,advanced_backend
587,Rita Byrne,87676286,48.0,80.0,29.0,5.0,5.0,3.0,0.0,9.0,4.0,81.0,35.0,35.0,beginner_front_end
588,Raymond Larsen,85502620,4.0,26.0,17.0,9.0,7.0,5.0,3.0,3.0,3.0,69.0,72.0,86.0,advanced_backend
589,Jimmy Brown,21610989,33.0,69.0,5.0,5.0,1.0,4.0,0.0,5.0,2.0,64.0,50.0,55.0,beginner_backend
590,Shannon Crawford,03776377,39.0,35.0,25.0,6.0,4.0,6.0,1.0,6.0,2.0,56.0,81.0,72.0,advanced_data_science
591,Albert Marquez,02010402,0.0,80.0,58.0,3.0,1.0,5.0,8.0,0.0,4.0,74.0,63.0,78.0,advanced_backend
592,Iris Smith,71656034,44.0,57.0,44.0,3.0,3.0,3.0,4.0,6.0,1.0,67.0,57.0,76.0,beginner_backend
593,Regina Silva,45001689,63.0,20.0,0.0,5.0,3.0,4.0,7.0,5.0,7.0,67.0,70.0,49.0,advanced_backend
594,Clark Neal,21425001,53.0,19.0,45.0,3.0,4.0,2.0,2.0,6.0,3.0,58.0,79.0,67.0,advanced_front_end
595,Paula Rhodes,15873451,41.0,65.0,48.0,4.0,6.0,3.0,5.0,6.0,3.0,55.0,82.0,61.0,advanced_front_end
596,Helen Fisher,76411012,46.0,52.0,31.0,0.0,0.0,3.0,6.0,5.0,5.0,56.0,80.0,72.0,advanced_backend
597,Allan Adkins,54534858,40.0,34.0,11.0,3.0,4.0,3.0,3.0,7.0,7.0,84.0,46.0,50.0,beginner_front_end
598,William Patterson,79155215,54.0,70.0,28.0,5.0,2.0,7.0,1.0,8.0,4.0,64.0,66.0,74.0,advanced_data_science
599,Patrick Harris,26868394,37.0,26.0,26.0,0.0,4.0,2.0,5.0,7.0,2.0,63.0,64.0,69.0,beginner_data_science
600,Randolph Weller,46052685,6.0,4.0,35.0,2.0,3.0,5.0,1.0,2.0,4.0,69.0,60.0,75.0,beginner_data_science
601,Robert Burch,58417714,45.0,28.0,22.0,3.0,6.0,4.0,3.0,5.0,2.0,48.0,70.0,54.0,advanced_front_end
602,Mickey Munoz,46266248,32.0,19.0,52.0,3.0,4.0,0.0,5.0,4.0,4.0,69.0,62.0,56.0,beginner_front_end
603,Rebecca Fala,66329441,36.0,56.0,33.0,5.0,4.0,4.0,4.0,4.0,3.0,58.0,48.0,56.0,beginner_data_science
604,Gloria Rubin,20411432,39.0,67.0,41.0,3.0,0.0,3.0,3.0,5.0,2.0,57.0,90.0,78.0,beginner_backend
605,Jack Brooks,25206001,39.0,53.0,38.0,5.0,2.0,6.0,2.0,0.0,2.0,60.0,28.0,69.0,advanced_data_science
606,Sonja Vargas,88275225,15.0,38.0,13.0,2.0,7.0,4.0,3.0,5.0,3.0,55.0,80.0,56.0,advanced_front_end
607,Lucille Isbell,89405689,52.0,42.0,4.0,6.0,5.0,4.0,3.0,4.0,5.0,75.0,72.0,57.0,beginner_front_end
608,Angela Borum,02309384,3.0,50.0,22.0,1.0,9.0,3.0,4.0,4.0,3.0,51.0,80.0,51.0,advanced_front_end
609,Tracey Destefano,62821707,11.0,30.0,54.0,4.0,0.0,4.0,1.0,0.0,5.0,54.0,,68.0,beginner_data_science
610,Caroline Solanki,15649184,21.0,38.0,38.0,2.0,5.0,5.0,5.0,4.0,2.0,91.0,88.0,67.0,beginner_backend
611,Jamison Peters,86317357,21.0,,32.0,0.0,2.0,3.0,0.0,8.0,0.0,,64.0,69.0,beginner_backend
612,Evelyn Bessemer,11266040,36.0,0.0,42.0,4.0,1.0,2.0,6.0,5.0,3.0,72.0,64.0,71.0,beginner_front_end
613,David Thompson,88729016,41.0,44.0,24.0,4.0,3.0,4.0,1.0,7.0,4.0,83.0,41.0,53.0,beginner_front_end
614,Michael Baker,48562098,34.0,33.0,61.0,6.0,4.0,4.0,2.0,1.0,5.0,73.0,84.0,76.0,beginner_data_science
615,Mary Jackson,87168885,51.0,83.0,11.0,3.0,2.0,5.0,7.0,0.0,5.0,81.0,88.0,57.0,beginner_backend
616,Samantha Herrera,15756896,57.0,15.0,4.0,1.0,5.0,3.0,6.0,7.0,2.0,88.0,89.0,91.0,beginner_data_science
617,Elizabeth Johnson,80512227,25.0,33.0,79.0,4.0,1.0,3.0,3.0,2.0,4.0,44.0,50.0,54.0,beginner_data_science
618,Eric Martinez,51794738,36.0,51.0,23.0,5.0,2.0,4.0,11.0,2.0,5.0,66.0,52.0,64.0,advanced_backend
619,Laura Burger,10974300,61.0,52.0,39.0,2.0,1.0,3.0,4.0,6.0,4.0,59.0,76.0,79.0,advanced_backend
620,Inez Nobel,08544566,0.0,18.0,52.0,4.0,3.0,7.0,0.0,0.0,4.0,41.0,75.0,79.0,beginner_data_science
621,Rita Driscoll,17255781,11.0,40.0,41.0,3.0,6.0,5.0,2.0,7.0,2.0,66.0,63.0,66.0,beginner_backend
622,Gregory Diamond,86725848,0.0,22.0,55.0,0.0,6.0,4.0,0.0,5.0,4.0,,77.0,71.0,beginner_backend
623,Flossie Boyd,49984108,0.0,15.0,30.0,0.0,8.0,7.0,1.0,7.0,0.0,100.0,65.0,57.0,beginner_backend
624,Vincent Cahall,78851244,52.0,0.0,49.0,3.0,4.0,5.0,1.0,5.0,3.0,62.0,61.0,51.0,advanced_front_end
625,Todd Moody,36287154,30.0,54.0,55.0,3.0,4.0,0.0,3.0,6.0,4.0,56.0,73.0,87.0,advanced_front_end
626,Robert Garcia,36842534,45.0,13.0,9.0,4.0,1.0,4.0,0.0,7.0,1.0,77.0,51.0,63.0,beginner_front_end
627,Anna Rivera,74341221,65.0,74.0,0.0,8.0,3.0,5.0,9.0,7.0,3.0,48.0,68.0,77.0,advanced_data_science
628,Frances Jones,90527486,50.0,8.0,19.0,0.0,5.0,5.0,2.0,3.0,3.0,43.0,72.0,48.0,advanced_front_end
629,James White,48309070,19.0,78.0,50.0,4.0,2.0,4.0,4.0,2.0,0.0,61.0,67.0,88.0,advanced_backend
630,Manuel Robinson,39996940,5.0,54.0,68.0,3.0,5.0,0.0,2.0,6.0,3.0,55.0,76.0,84.0,advanced_front_end
631,Racheal Quinn,81472792,29.0,76.0,46.0,4.0,6.0,3.0,6.0,5.0,3.0,75.0,70.0,71.0,advanced_front_end
632,Nicole Labianca,45317603,22.0,21.0,34.0,0.0,0.0,4.0,7.0,4.0,3.0,87.0,85.0,74.0,beginner_backend
633,Edna Madigan,35324341,0.0,12.0,48.0,4.0,7.0,3.0,4.0,8.0,0.0,91.0,54.0,66.0,beginner_backend
634,Christopher Moore,14472354,32.0,57.0,68.0,3.0,6.0,2.0,4.0,5.0,2.0,65.0,70.0,59.0,advanced_front_end
635,Samuel Necaise,16564052,0.0,1.0,31.0,0.0,7.0,8.0,3.0,4.0,4.0,97.0,87.0,70.0,beginner_backend
636,Sonya Corlew,34804549,34.0,20.0,29.0,3.0,2.0,2.0,4.0,3.0,5.0,83.0,85.0,79.0,beginner_data_science
637,Pete Schuster,86985969,63.0,53.0,17.0,7.0,3.0,4.0,3.0,6.0,1.0,65.0,34.0,59.0,advanced_data_science
638,Janet Baber,33257209,49.0,65.0,20.0,4.0,6.0,4.0,2.0,7.0,5.0,88.0,52.0,46.0,beginner_front_end
639,Ramon Whiting,41730867,23.0,0.0,30.0,0.0,4.0,2.0,4.0,6.0,5.0,61.0,79.0,90.0,advanced_front_end
640,Christie Duckey,79522169,70.0,35.0,20.0,10.0,2.0,6.0,4.0,3.0,0.0,55.0,58.0,72.0,advanced_data_science
641,Pat Smith,60517210,56.0,40.0,50.0,4.0,5.0,5.0,3.0,5.0,3.0,61.0,81.0,45.0,advanced_front_end
642,Harold Allen,22302595,76.0,14.0,45.0,2.0,6.0,5.0,5.0,4.0,2.0,50.0,55.0,72.0,beginner_front_end
643,Walter Hastie,29811948,40.0,3.0,52.0,4.0,4.0,5.0,5.0,7.0,2.0,72.0,80.0,83.0,beginner_front_end
644,Carmen Clanton,52710878,0.0,92.0,57.0,5.0,3.0,4.0,4.0,5.0,5.0,74.0,74.0,67.0,advanced_front_end
645,Charles Swindle,01539545,32.0,69.0,47.0,2.0,5.0,4.0,6.0,5.0,2.0,80.0,58.0,79.0,advanced_front_end
646,Sharon Carter,63214368,30.0,74.0,40.0,5.0,5.0,7.0,2.0,5.0,2.0,54.0,81.0,63.0,advanced_data_science
647,Jasper Yan,63875515,0.0,91.0,77.0,4.0,1.0,5.0,5.0,8.0,7.0,63.0,55.0,66.0,advanced_front_end
648,Barbara Langham,51438625,2.0,58.0,21.0,5.0,6.0,8.0,6.0,1.0,10.0,68.0,78.0,54.0,advanced_backend
649,William Garcia,60371163,20.0,14.0,41.0,1.0,4.0,9.0,4.0,5.0,2.0,75.0,89.0,74.0,beginner_data_science
650,William Jarvis,06467007,68.0,58.0,16.0,5.0,4.0,6.0,6.0,4.0,6.0,61.0,60.0,47.0,advanced_backend
651,Edith Wright,52060012,12.0,101.0,62.0,5.0,5.0,2.0,6.0,7.0,4.0,72.0,84.0,74.0,advanced_front_end
652,Lashawn Aburto,58240070,15.0,51.0,17.0,2.0,3.0,4.0,2.0,5.0,3.0,78.0,76.0,69.0,beginner_backend
653,Douglas Lynn,58343900,21.0,42.0,7.0,7.0,4.0,9.0,0.0,0.0,5.0,89.0,78.0,75.0,advanced_backend
654,Gregory Sowell,75561285,29.0,104.0,53.0,4.0,5.0,8.0,1.0,2.0,4.0,51.0,70.0,51.0,advanced_backend
655,Marquita Smith,11584014,68.0,57.0,53.0,4.0,7.0,1.0,3.0,4.0,0.0,68.0,66.0,64.0,advanced_front_end
656,Jesse Schell,58472295,43.0,14.0,18.0,6.0,2.0,7.0,2.0,4.0,4.0,48.0,82.0,77.0,advanced_data_science
657,Paul Massa,53428740,44.0,56.0,49.0,4.0,1.0,3.0,5.0,3.0,3.0,73.0,65.0,89.0,advanced_backend
658,Sherry Morey,77820233,70.0,47.0,51.0,2.0,6.0,5.0,1.0,5.0,0.0,61.0,46.0,55.0,beginner_front_end
659,John Moorehead,22049419,49.0,52.0,5.0,7.0,2.0,7.0,1.0,5.0,1.0,70.0,74.0,73.0,advanced_data_science
660,Priscilla Catron,78334652,55.0,56.0,18.0,7.0,7.0,5.0,4.0,2.0,4.0,71.0,73.0,54.0,beginner_front_end
661,Brandon Tobey,30405338,8.0,39.0,71.0,4.0,1.0,2.0,5.0,4.0,7.0,88.0,91.0,100.0,advanced_backend
662,Lamont Salazar,65636397,86.0,80.0,40.0,5.0,0.0,0.0,4.0,6.0,5.0,45.0,62.0,80.0,beginner_backend
663,Eileen Epperson,71120129,59.0,43.0,52.0,5.0,5.0,7.0,1.0,3.0,1.0,52.0,67.0,58.0,advanced_data_science
664,Amy Richardson,33088749,17.0,65.0,24.0,5.0,4.0,5.0,5.0,0.0,1.0,62.0,70.0,71.0,advanced_backend
665,Steven Olivarez,41410694,9.0,42.0,14.0,4.0,4.0,1.0,8.0,3.0,1.0,57.0,67.0,88.0,advanced_backend
666,Randal Myatt,13773307,41.0,60.0,77.0,4.0,3.0,5.0,2.0,5.0,2.0,47.0,46.0,28.0,advanced_front_end
667,Carol Herzog,14305911,0.0,38.0,68.0,5.0,2.0,7.0,0.0,0.0,5.0,58.0,70.0,70.0,beginner_data_science
668,David Nein,80065430,0.0,77.0,52.0,3.0,5.0,2.0,6.0,5.0,5.0,83.0,82.0,95.0,advanced_front_end
669,Ardis Miller,41187439,0.0,56.0,58.0,3.0,3.0,3.0,2.0,6.0,4.0,73.0,77.0,71.0,advanced_front_end
670,Leah Taylor,34977427,31.0,39.0,40.0,0.0,7.0,1.0,5.0,7.0,1.0,51.0,68.0,70.0,advanced_front_end
671,Armando Wilkins,13175326,30.0,7.0,79.0,3.0,2.0,2.0,10.0,5.0,0.0,70.0,85.0,45.0,beginner_data_science
672,Anne Myers,21946690,17.0,6.0,36.0,3.0,2.0,10.0,4.0,3.0,1.0,80.0,100.0,81.0,beginner_data_science
673,Michael Taylor,82605229,17.0,77.0,31.0,3.0,4.0,3.0,5.0,8.0,2.0,72.0,66.0,64.0,advanced_data_science
674,Peter Salazar,84020110,24.0,15.0,46.0,4.0,1.0,8.0,3.0,2.0,3.0,69.0,75.0,74.0,beginner_data_science
675,Mark Wood,20782587,22.0,29.0,27.0,2.0,8.0,5.0,4.0,4.0,3.0,69.0,83.0,49.0,advanced_front_end
676,Fredrick Hegyi,45669493,30.0,57.0,24.0,2.0,5.0,1.0,3.0,5.0,5.0,40.0,87.0,77.0,advanced_front_end
677,Marlon Norman,35315429,22.0,40.0,0.0,1.0,1.0,1.0,0.0,5.0,3.0,86.0,62.0,46.0,beginner_front_end
678,Jon Byrant,82502365,18.0,14.0,15.0,0.0,3.0,7.0,2.0,4.0,2.0,66.0,67.0,80.0,beginner_data_science
679,Loretta Dunn,25681920,32.0,46.0,0.0,7.0,3.0,4.0,0.0,4.0,0.0,87.0,71.0,76.0,advanced_data_science
680,Ken Young,50572563,29.0,26.0,36.0,2.0,7.0,3.0,2.0,4.0,2.0,58.0,74.0,59.0,advanced_front_end
681,Jose Norton,63518746,52.0,55.0,18.0,5.0,4.0,5.0,4.0,3.0,5.0,68.0,64.0,67.0,advanced_backend
682,Emily Theisen,22108921,6.0,41.0,58.0,4.0,5.0,3.0,1.0,5.0,4.0,51.0,78.0,44.0,advanced_front_end
683,Milton Ferguson,34986386,26.0,11.0,50.0,0.0,5.0,4.0,2.0,5.0,3.0,62.0,75.0,56.0,advanced_front_end
684,John Ness,02313388,74.0,43.0,33.0,4.0,8.0,0.0,2.0,2.0,0.0,70.0,93.0,,advanced_front_end
685,Michelle Matelski,39586835,9.0,27.0,42.0,3.0,7.0,4.0,3.0,5.0,6.0,67.0,71.0,79.0,beginner_backend
686,Nicole Reynolds,51825736,65.0,86.0,61.0,4.0,2.0,5.0,3.0,6.0,6.0,47.0,63.0,76.0,advanced_backend
687,Velma Thomas,66846382,59.0,34.0,53.0,6.0,2.0,8.0,2.0,0.0,6.0,41.0,65.0,97.0,advanced_data_science
688,Reynaldo Murray,08105364,15.0,21.0,3.0,1.0,4.0,1.0,6.0,0.0,2.0,78.0,100.0,73.0,advanced_backend
689,Helen Clark,77832589,14.0,11.0,42.0,4.0,2.0,6.0,0.0,3.0,1.0,63.0,62.0,54.0,advanced_data_science
690,Sidney London,84038879,23.0,62.0,20.0,4.0,6.0,1.0,2.0,7.0,0.0,76.0,54.0,70.0,advanced_data_science
691,Kim Albaladejo,58019498,42.0,38.0,40.0,5.0,1.0,7.0,4.0,5.0,10.0,85.0,73.0,77.0,advanced_backend
692,Brian Martin,36996255,9.0,14.0,45.0,4.0,2.0,7.0,0.0,3.0,3.0,34.0,78.0,86.0,beginner_data_science
